Year,Month,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,Max24hrPrecip
1958,Nov,41,83,64,59,53.7,74.1,63.9,0,0
1958,Dec,43,94,60,62,51.6,73.2,62.4,0.01,0.01
1958,Jan,44,87,56,60,49,69.6,59.3,1.49,0.84
1958,Feb,48,78,59,62,52.9,67.4,60.1,6.26,3.49
1958,Mar,44,73,56,57,49.9,65.8,57.9,5.25,2.3
1958,Apr,47,87,63,60,55.7,73.4,64.5,2.04,0.67
1959,Oct,54,91,66,67,60.8,75.6,68.2,0.01,0.01
1959,Nov,46,89,61,64,53,77.2,65.1,0.06,0.04
1959,Dec,42,88,58,58,49.8,69.4,59.6,1.11,0.79
1959,Jan,47,79,56,60,50.8,69,59.9,1.11,0.76
1959,Feb,44,76,55,56,48.5,66.1,57.3,3.72,1.45
1959,Mar,51,88,58,68,53.9,74.1,64,0,0
1959,Apr,54,83,62,68,57.7,73.1,65.4,0.39,0.36
1960,Oct,52,90,68,63,56.5,72.2,64.4,0,0
1960,Nov,43,77,59,56,50.2,66.2,58.2,2.67,0.7
1960,Dec,38,82,50,56,44.3,65.4,54.9,0.06,0.05
1960,Jan,36,79,54,50,44.9,61.7,53.3,2.83,0.9
1960,Feb,40,73,55,55,47.6,63,55.3,2.9,1.55
1960,Mar,42,82,55,59,50.6,64.4,57.5,0.21,0.2
1960,Apr,46,88,60,60,52.6,69.8,61.2,2,1.26
1961,Oct,46,106,76,65,57.1,74.2,65.7,0,0
1961,Nov,43,87,56,56,49.7,68.4,59.1,1.88,0.96
1961,Dec,40,76,55,53,45.9,62.2,54,1.07,0.58
1961,Jan,40,83,57,58,47.8,70,58.9,1.27,1.22
1961,Feb,44,79,55,62,48.2,67.5,57.8,0,0
1961,Mar,45,80,52,56,49.4,64.3,56.8,0.46,0.36
1961,Apr,47,77,58,62,52.2,67,59.6,0.02,0.02
1962,Oct,53,92,63,65,58.1,71.1,64.6,0.07,0.04
1962,Nov,44,76,60,63,52.5,66.9,59.7,0.02,0.02
1962,Dec,36,74,57,59,49,64.2,56.6,0.01,0.01
1962,Jan,38,86,53,51,45.6,66.5,56,2.68,1.14
1962,Feb,37,73,57,54,48.2,59.3,53.8,11.07,3.91
1962,Mar,39,70,52,55,45.9,61.3,53.6,1.11,0.54
1962,Apr,49,89,57,61,52.9,68,60.5,0,0
1963,Oct,55,82,69,69,60.8,74.9,67.9,0.42,0.42
1963,Nov,45,84,61,62,52.9,70.6,61.7,2.76,0.81
1963,Dec,40,85,55,61,45.9,69.9,57.9,0,0
1963,Jan,30,81,58,57,46.7,63.7,55.2,0.62,0.56
1963,Feb,49,92,58,57,53.5,68.7,61.1,4.48,2.5
1963,Mar,41,74,53,57,48.2,64.9,56.6,2.42,1.13
1963,Apr,44,74,56,60,49.9,64.6,57.3,1.41,0.41
1964,Oct,53,94,65,65,59.7,74.3,67,0.3,0.21
1964,Nov,38,86,59,49,49.4,68.4,58.9,1.07,0.49
1964,Dec,39,74,57,54,48.1,62.2,55.1,1.95,0.71
1964,Jan,40,77,52,57,45.4,65.1,55.2,1.49,0.59
1964,Feb,38,79,51,60,44.6,67.4,56,0,0
1964,Mar,39,88,55,55,47.3,64.5,55.9,1.2,0.6
1964,Apr,44,93,57,59,50.4,65.9,58.1,0.2,0.08
1965,Oct,50,101,70,67,59.5,79.4,69.4,0,0
1965,Nov,42,74,62,60,54.1,66.9,60.5,6.38,2.12
1965,Dec,38,83,56,51,46.3,63.9,55.1,3.25,1.96
1965,Jan,37,83,58,55,46.1,65.2,55.6,0.43,0.3
1965,Feb,37,83,52,55,45.9,64.6,55.2,0.34,0.2
1965,Mar,45,75,55,57,50.1,64.8,57.4,1.63,1.03
1965,Apr,43,79,59,54,51.7,65.4,58.6,4.52,1.2
1966,Oct,55,93,67,70,61.1,77.8,69.5,0.04,0.04
1966,Nov,45,101,63,60,54.9,70.1,62.5,2.69,2.44
1966,Dec,40,76,58,58,48.6,66.4,57.5,3.67,1.49
1966,Jan,37,81,55,54,44,63.1,53.6,0.84,0.73
1966,Feb,38,79,53,56,43.8,62.1,52.9,1.4,1.02
1966,Mar,39,78,56,54,50.4,64.6,57.5,0.49,0.26
1966,Apr,50,95,60,64,54.3,69.1,61.7,0.01,0.01
1967,Oct,54,97,64,68,59.9,77,68.5,0,0
1967,Nov,45,85,63,61,57.6,70.7,64.2,7.47,5.6
1967,Dec,38,76,55,49,46.2,62,54.1,1.05,0.54
1967,Jan,41,79,57,58,48.2,64.9,56.5,2.71,1.46
1967,Feb,44,84,57,61,49.2,69.9,59.5,0.05,0.05
1967,Mar,44,76,58,58,52.8,65.7,59.3,1.47,0.38
1967,Apr,45,70,54,56,49.1,62.9,56,2.68,0.78
1968,Oct,55,94,63,67,58.6,72,65.3,0.32,0.13
1968,Nov,43,83,57,60,53.7,69.7,61.7,0.24,0.15
1968,Dec,32,79,55,51,45.5,63,54.3,1.42,0.8
1968,Jan,41,82,54,55,48.4,66.1,57.3,0.84,0.24
1968,Feb,49,80,59,60,54.2,67.4,60.8,0.44,0.2
1968,Mar,46,84,59,60,52.3,68.7,60.5,3.77,3.1
