Year,Month,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,Max24hrPrecip
2001,Mar,45,75,58,59,52.6,63,57.8,1.29,0.71
2001,Apr,43,81,58,57,50.9,63.2,57.1,1.1,0.54
2002,Oct,52,84,60,63,57.5,68,62.8,0.05,0.05
2002,Nov,49,88,64,63,54.7,72.8,63.7,1.6,0.93
2002,Dec,43,76,55,58,48.9,63.7,56.3,1.77,1.03
2002,Jan,36,76,55,53,47.1,63.7,55.4,0.73,0.49
2002,Feb,40,89,60,59,48.8,69,58.9,0.35,0.35
2002,Mar,44,76,55,58,50.2,65.8,58,0.27,0.11
2002,Apr,49,72,57,58,53,64.8,58.9,0.02,0.02
2003,Oct,54,91,64,64,60.5,74.3,67.4,0.71,0.71
2003,Nov,43,84,61,59,51.5,67.7,59.6,0.8,0.56
2003,Dec,39,78,58,58,48.6,64.9,56.7,1.14,0.78
2003,Jan,45,91,61,59,52.5,71.7,62.1,0,0
2003,Feb,45,76,56,58,50.9,65.2,58.1,3.78,2.15
2003,Mar,46,88,61,58,51.9,66.4,59.2,1.66,1.49
2003,Apr,46,83,57,60,51.3,65.3,58.3,0.49,0.46
2004,Oct,52,74,63,64,57.8,69.5,63.6,3.78,1.14
2004,Nov,41,77,57,58,50.9,66.9,58.9,0.11,0.08
2004,Dec,41,82,55,52,48.3,66.3,57.3,6.49,4.53
2004,Jan,42,76,54,55,48.9,64.8,56.8,0.49,0.47
2004,Feb,44,71,53,57,47.9,63.3,55.6,4.61,1.53
2004,Mar,47,89,60,60,54,68,61,0.77,0.74
2004,Apr,49,93,61,62,54.7,69.5,62.1,0.03,0.03
2005,Oct,53,95,65,62,57.6,72.4,65,1.01,0.46
2005,Nov,48,88,61,64,54.8,72.8,63.8,0.47,0.39
2005,Dec,42,79,59,60,51.2,66.9,59,0.95,0.67
2005,Jan,43,85,59,54,50.2,64.6,57.4,6.87,1.59
2005,Feb,46,74,57,59,51.5,64.8,58.1,6.95,1.98
2005,Mar,47,74,57,58,52.5,64.6,58.6,1.08,0.82
2005,Apr,48,81,57,62,52.6,67.2,59.9,0.9,0.84
2006,Oct,53,83,64,66,58.5,73.2,65.9,0,0
2006,Nov,45,93,65,62,55.2,71.9,63.6,0.25,0.25
2006,Dec,39,79,54,55,47.5,67.1,57.3,0.61,0.2
2006,Jan,43,86,58,58,49.1,67.2,58.1,1.42,0.98
2006,Feb,42,87,58,57,49.8,68.2,59,2.03,1.22
2006,Mar,40,71,54,53,48.2,61.2,54.7,2.52,1.75
2006,Apr,47,77,58,61,53.4,65.4,59.4,1.63,0.86
2007,Oct,54,94,69,63,58.6,73.9,66.3,0.64,0.35
2007,Nov,49,87,62,59,55.4,67.6,61.5,0.5,0.5
2007,Dec,42,76,57,55,48.2,63.5,55.8,1.59,0.75
2007,Jan,35,84,56,54,45.2,63.7,54.5,0.39,0.19
2007,Feb,43,87,56,58,49.8,65.1,57.5,0.82,0.35
2007,Mar,45,86,59,58,52.7,67.2,60,0.09,0.08
2007,Apr,47,74,58,57,53.9,66.3,60.1,0.36,0.32
2008,Oct,52,96,71,66,59.5,78.3,68.9,0,0
2008,Nov,51,88,63,61,55.8,72.3,64,1.5,0.6
2008,Dec,40,77,58,53,48.1,61.6,54.9,2.51,1.89
2008,Jan,43,75,58,55,48.8,63,55.9,4.67,0.95
2008,Feb,43,82,57,57,49.1,64.4,56.8,2.17,0.75
2008,Mar,46,84,57,58,52.2,68,60.1,0.03,0.02
2008,Apr,49,96,70,58,54.9,70.4,62.7,0.03,0.03
2009,Oct,51,91,63,65,57.8,72.2,65,1.3,1.09
2009,Nov,48,83,60,63,52.5,70.6,61.5,0,0
2009,Dec,39,76,56,53,48.8,63.6,56.2,2.05,0.99
2009,Jan,42,84,61,53,50.6,69.5,60.1,0.51,0.25
2009,Feb,41,82,57,54,48.8,63.7,56.2,3.41,1.12
2009,Mar,46,77,57,58,51.4,64,57.7,0.05,0.04
2009,Apr,46,95,63,60,52.7,67.6,60.2,0,0
2010,Oct,54,84,66,64,60.3,70.8,65.6,1.56,0.62
2010,Nov,42,98,69,60,52.5,70.3,61.4,0.59,0.31
2010,Dec,39,83,67,56,51.3,65,58.2,8.83,2.23
2010,Jan,43,80,57,54,50,66.8,58.4,4.3,1.13
2010,Feb,41,80,55,56,50.3,64.7,57.5,3.23,1.39
2010,Mar,46,85,59,60,52.1,67.5,59.8,0.21,0.18
2010,Apr,46,79,57,59,52.3,64.6,58.5,1.25,0.56
2011,Oct,52,92,67,62,58.1,70.9,64.5,0.63,0.61
2011,Nov,44,84,59,54,51,67,59,1.69,0.98
2011,Dec,40,73,52,55,45.8,64.2,55,0.67,0.65
2011,Jan,44,81,56,52,49.6,68.7,59.2,0.81,0.59
2011,Feb,41,80,55,54,47.3,63.3,55.3,1.47,0.5
2011,Mar,44,83,58,56,51.5,64.5,58,4.04,2.36
2011,Apr,44,83,60,57,55.4,68.1,61.8,0,0
2012,Oct,55,93,68,65,61.6,76.4,69,0.15,0.11
2012,Nov,47,91,62,62,55.6,69.7,62.7,1.31,0.67
2012,Dec,41,68,61,55,50.8,62.3,56.6,2.82,1.42
2012,Jan,44,85,59,56,49.2,69.5,59.4,1.19,0.62
2012,Feb,41,78,55,57,48.8,65.3,57.1,0.12,0.09
2012,Mar,43,87,54,55,50.1,64.2,57.2,1.78,0.98
2012,Apr,45,82,58,59,53,66.4,59.7,1.51,0.44
2013,Oct,52,91,64,65,58.3,73.1,65.7,0.02,0.02
2013,Nov,50,90,62,63,55.8,72.4,64.1,0.69,0.31
2013,Dec,39,85,58,57,48.6,69.4,59,0.3,0.26
2013,Jan,38,80,60,54,47.3,65.7,56.5,1.3,0.76
2013,Feb,39,80,56,54,47.5,64.8,56.1,0.2,0.13
2013,Mar,48,82,57,58,53,65.3,59.2,0.66,0.59
2013,Apr,51,79,59,62,56,68.3,62.1,0.06,0.06
2014,Oct,59,95,66,69,62.7,77.2,70,0.24,0.24
2014,Nov,51,88,62,65,56.3,73.6,64.9,0.42,0.22
2014,Dec,40,79,60,57,51.5,64.9,58.2,4.04,1.49
2014,Jan,46,87,58,60,51,71.6,61.3,0,0
2014,Feb,46,78,57,60,52.7,66.8,59.7,2.79,1.56
2014,Mar,51,85,61,63,55.6,69.1,62.3,0.36,0.35
2014,Apr,49,89,63,62,55.5,69.8,62.6,0.26,0.12
2015,Oct,60,99,74,71,66.8,81.2,74,0.1,0.08
2015,Nov,45,89,60,62,52.4,72.1,62.2,0.06,0.03
2015,Dec,39,80,57,57,48.6,66.1,57.3,1.08,0.46
2015,Jan,36,83,59,56,50.9,68.8,59.8,1.25,0.69
2015,Feb,45,84,59,61,53.4,68.7,61,0.27,0.27
2015,Mar,47,90,66,60,55.7,73.3,64.5,0.49,0.25
2015,Apr,48,83,59,63,54.8,69.6,62.2,0.11,0.1
